stop_id,stop_sequence,trip_headsign,direction_id,route_id,wheelchair_accessible,bikes_allowed,stop_lat,stop_lon,stop_name,is_express
1619,1,20 ABIA Airport SB,1,20,1,1,30.313865,-97.664697,7000 Manor/Susquehanna,False
1621,2,20 ABIA Airport SB,1,20,1,1,30.310003,-97.667482,6650 Manor/Loyola,False
1622,3,20 ABIA Airport SB,1,20,1,1,30.3085,-97.671213,University Hills SB (Manor/Northeast),False
1625,4,20 ABIA Airport SB,1,20,1,1,30.307941,-97.678194,6102 Manor/Wheless,False
1626,5,20 ABIA Airport SB,1,20,1,1,30.30659,-97.680101,5900 Manor/Sweeney,False
1627,6,20 ABIA Airport SB,1,20,1,1,30.304383,-97.681613,Manor at Rogge SB (Manor/Rogge),False
1629,7,20 ABIA Airport SB,1,20,1,1,30.30115,-97.685058,Manor/Wellington,False
1631,8,20 ABIA Airport SB,1,20,1,1,30.298358,-97.687017,51st/Manor SB (Manor/51st),False
6084,9,20 ABIA Airport SB,1,20,1,1,30.295369,-97.689006,4800 Manor/Creekwood,False
1633,10,20 ABIA Airport SB,1,20,1,1,30.29216,-97.689382,4500 Manor/Lovell,False
1634,11,20 ABIA Airport SB,1,20,1,1,30.290265,-97.695112,3722 Manor/Tilley,False
1635,12,20 ABIA Airport SB,1,20,1,1,30.28934,-97.698275,3600 Manor/Pershing,False
1636,13,20 ABIA Airport SB,1,20,1,1,30.287728,-97.701113,Manor/Anchor,False
4193,14,20 ABIA Airport SB,1,20,1,1,30.286885,-97.703204,Manor/Tillery,False
1639,16,20 ABIA Airport SB,1,20,1,1,30.285663,-97.710921,Alexander SB (Manor/Alexander),False
1640,17,20 ABIA Airport SB,1,20,1,1,30.285124,-97.714409,Manor/Walnut,False
1642,18,20 ABIA Airport SB,1,20,1,1,30.284554,-97.717984,Cherrywood SB (Manor/Cherrywood),False
1644,19,20 ABIA Airport SB,1,20,1,1,30.284787,-97.721969,Dean Keeton/Dancy NE Corner,False
2077,20,20 ABIA Airport SB,1,20,1,1,30.287579,-97.727345,920 Dean Keeton/Red River,False
6498,21,20 ABIA Airport SB,1,20,1,1,30.288847,-97.729473,East Dean Keeton SB (Dean Keeton/Medical Arts),False
2079,22,20 ABIA Airport SB,1,20,1,1,30.289536,-97.737134,Dean Keeton/Speedway NE Corner,False
497,24,20 ABIA Airport SB,1,20,1,1,30.286231,-97.741771,UT West Mall Station (SB),False
498,25,20 ABIA Airport SB,1,20,1,1,30.283384,-97.742081,Guadalupe/W. 21st Street,False
6419,1,10 Southpark Meadows SB,0,10,1,1,30.340202,-97.691345,Norwood Transit Center - A,False
2738,27,20 ABIA Airport SB,1,20,1,1,30.275022,-97.744169,Capitol Station (SB),False
5446,2,10 Southpark Meadows SB,0,10,1,1,30.340454,-97.690058,1113 Rutherford/Furness,False
4720,3,10 Southpark Meadows SB,0,10,1,1,30.33771,-97.68437,8100 Cameron Road,False
2455,4,10 Southpark Meadows SB,0,10,1,1,30.33555,-97.68456,8004 Cameron/Rutherford,False
5604,1,7 William Cannon SB,0,7,1,1,30.338721,-97.719548,Crestview Station Bus Stop,False
2877,2,7 William Cannon SB,0,7,1,1,30.336206,-97.718248,6904 Airport/Lamar,False
2456,5,10 Southpark Meadows SB,0,10,1,1,30.33123,-97.68753,7606 Cameron/Anderson,False
5758,2,7 Airport/Highland NB,1,7,1,1,30.188349,-97.765515,1901 William Cannon/Bluff Springs,False
5510,3,7 William Cannon SB,0,7,1,1,30.333535,-97.716863,Airport/Guadalupe,False
2457,6,10 Southpark Meadows SB,0,10,1,1,30.32921,-97.69045,7400 Cameron/McKie,False
3846,31,20 ABIA Airport SB,1,20,1,1,30.256196,-97.746021,Riverside/Congress FS,False
5603,4,7 William Cannon SB,0,7,1,1,30.328339,-97.716081,6402 Airport Blvd (Highland Mall),False
6346,7,10 Southpark Meadows SB,0,10,1,1,30.325707,-97.691802,1423 St Johns/Cameron,False
6526,5,7 William Cannon SB,0,7,1,1,30.323416,-97.71554,Airport at Clayton SB,False
5625,6,7 William Cannon SB,0,7,1,1,30.321647,-97.71395,5789 Airport/Koenig,False
1313,8,10 Southpark Meadows SB,0,10,1,1,30.3223,-97.68924,Berkman/US 290 NW Corner,False
4748,9,10 Southpark Meadows SB,0,10,1,1,30.319884,-97.68919,Berkman/US 290 SW Corner,False
1164,7,7 William Cannon SB,0,7,1,1,30.321167,-97.718996,5600 Avenue F/56th,False
5186,10,10 Southpark Meadows SB,0,10,1,1,30.318167,-97.690141,6500 Berkman/Wheless,False
1316,11,10 Southpark Meadows SB,0,10,1,1,30.316451,-97.691223,6208 Berkman/Glen Valley,False
6248,8,7 William Cannon SB,0,7,1,1,30.316511,-97.718524,5302 Duval/53rd,False
1003,40,20 ABIA Airport SB,1,20,1,1,30.238275,-97.726015,2237 Riverside/Willow Creek,False
1318,12,10 Southpark Meadows SB,0,10,1,1,30.312311,-97.693666,5810 Berkman/Sweetbriar,False
1168,9,7 William Cannon SB,0,7,1,1,30.314362,-97.719922,Duval/51st,False
1319,13,10 Southpark Meadows SB,0,10,1,1,30.309342,-97.695539,Berkman/Cloverleaf,False
6295,14,10 Southpark Meadows SB,0,10,1,1,30.306736,-97.697201,5305 Berkman/Broadmoor,False
1169,10,7 William Cannon SB,0,7,1,1,30.310968,-97.722129,Duval/48th,False
6309,11,7 Airport/Highland NB,1,7,1,1,30.197276,-97.744457,4509 Teri/Pleasant Valley,False
6313,12,7 Airport/Highland NB,1,7,1,1,30.200146,-97.749038,2303 Teri/Spruce,False
6335,15,10 Southpark Meadows SB,0,10,1,1,30.302661,-97.700391,1716 Barbara Jordan/Berkman,False
4150,11,7 William Cannon SB,0,7,1,1,30.307337,-97.724462,4510 Duval/45th,False
6368,46,20 ABIA Airport SB,1,20,1,1,30.226741,-97.70763,5925 Riverside/Grove,False
6183,1,337 Mopac WB,0,337,1,1,30.291672,-97.628589,Decker (Loyola/Decker),False
4606,1,5 Northcross WB,1,5,1,1,30.283619,-97.671579,Tannehill/Webberville,False
1228,13,7 Airport/Highland NB,1,7,1,1,30.202328,-97.752516,2008 Teri/Pepper,False
5794,16,10 Southpark Meadows SB,0,10,1,1,30.303915,-97.704151,4924 Mueller/Barbara Jordan,False
1171,12,7 William Cannon SB,0,7,1,1,30.30438,-97.726357,Duval/43rd,False
6385,2,5 Northcross WB,1,5,1,1,30.281843,-97.67245,4338 Tannehill/Webberville,False
5981,2,337 Mopac WB,0,337,1,1,30.292958,-97.631241,Loyola/Wentworth,False
1229,14,7 Airport/Highland NB,1,7,1,1,30.204466,-97.753036,4801 Freidrich/Teri,False
1172,13,7 William Cannon SB,0,7,1,1,30.301674,-97.728038,4002 Duval/41st,False
5483,17,10 Southpark Meadows SB,0,10,1,1,30.301482,-97.70572,4826 Mueller/Philomena,False
5912,3,5 Northcross WB,1,5,1,1,30.279199,-97.674156,4100 Tannehill/Samuel Huston,False
1230,15,7 Airport/Highland NB,1,7,1,1,30.208174,-97.750684,4601 Freidrich/City Yard,False
4152,14,7 William Cannon SB,0,7,1,1,30.298182,-97.730215,3508 Duval/38th,False
5670,18,10 Southpark Meadows SB,0,10,1,1,30.298134,-97.707679,1714 Aldrich/Mueller,False
1174,15,7 William Cannon SB,0,7,1,1,30.295649,-97.731832,Duval/33rd,False
5918,19,10 Southpark Meadows SB,0,10,1,1,30.29844,-97.709294,4300 Airport/Aldrich,False
1231,16,7 Airport/Highland NB,1,7,1,1,30.211339,-97.748689,4217 Freidrich/St Elmo,False
1175,16,7 William Cannon SB,0,7,1,1,30.294603,-97.732495,3200 Duval/32nd,False
2282,3,337 Mopac WB,0,337,1,1,30.297971,-97.64216,Colony Park SB (Loyola/Colony Loop),False
1085,4,5 Northcross WB,1,5,1,1,30.276588,-97.67835,Jackie Robinson/Delano,False
3271,20,10 Southpark Meadows SB,0,10,1,1,30.30041,-97.71246,4335 Airport/Parkwood,False
1232,17,7 Airport/Highland NB,1,7,1,1,30.213484,-97.746116,4115 Freidrich/Woodward,False
2288,4,337 Mopac WB,0,337,1,1,30.299247,-97.645835,6714 Loyola/Sandshof,False
6388,1,324 Highland EB,0,324,1,1,30.357549,-97.738037,2751 Foster/Rockwood,False
4615,5,337 Mopac WB,0,337,1,1,30.29995,-97.647303,Loyola/Johnny Morris NE Corner,False
1176,17,7 William Cannon SB,0,7,1,1,30.291876,-97.734222,Duval/30th,False
6369,5,5 Northcross WB,1,5,1,1,30.278736,-97.680321,1411 Fort Branch/Meander,False
1177,18,7 William Cannon SB,0,7,1,1,30.289599,-97.734686,San Jacinto/Dean Keeton NW Corner,False
5558,6,337 Mopac WB,0,337,1,1,30.30163,-97.650907,Loyola/Johnny Morris NW Corner,False
1089,6,5 Northcross WB,1,5,1,1,30.27989,-97.681063,1420 Webberville/Fort Branch,False
5663,19,7 Airport/Highland NB,1,7,1,1,30.217996,-97.743796,2000 Woodward/Ben White,False
5855,2,324 Highland EB,0,324,1,1,30.358707,-97.736521,2711 Anderson/Northcross,False
3532,21,10 Southpark Meadows SB,0,10,1,1,30.303935,-97.717598,45th / Bennett,False
1179,19,7 William Cannon SB,0,7,1,1,30.285506,-97.733782,UT Stadium SB (San Jacinto/23rd),False
2290,7,337 Mopac WB,0,337,1,1,30.303281,-97.654591,5900 Loyola/Crystalbrook,False
1091,7,5 Northcross WB,1,5,1,1,30.278254,-97.684918,12TH/WEBBERVILLE,False
2291,8,337 Mopac WB,0,337,1,1,30.303051,-97.657759,5600 Loyola/Millrace,False
4324,22,7 Airport/Highland NB,1,7,1,1,30.222918,-97.7421,3301 Parker/Timber Ridge,False
1701,22,10 Southpark Meadows SB,0,10,1,1,30.303378,-97.72062,4400 Red River/44th,False
1180,20,7 William Cannon SB,0,7,1,1,30.283014,-97.7341,2098 SAN JACINTO/21ST,False
1092,8,5 Northcross WB,1,5,1,1,30.278941,-97.686682,4600 12th/Springdale,False
1237,23,7 Airport/Highland NB,1,7,1,1,30.224517,-97.742158,3101 Parker/Wickshire,False
6337,23,10 Southpark Meadows SB,0,10,1,1,30.301618,-97.721598,4202 Red River/Park,False
5746,3,324 Highland EB,0,324,1,1,30.358604,-97.730093,8003 Burnet/Ashdale,False
1093,9,5 Northcross WB,1,5,1,1,30.278639,-97.689538,12th/Cometa,False
3063,4,324 Highland EB,0,324,1,1,30.360508,-97.729588,Burnet/Teakwood,False
1238,24,7 Airport/Highland NB,1,7,1,1,30.227381,-97.740387,2801 Parker/Royal Hill,False
2292,9,337 Mopac WB,0,337,1,1,30.304837,-97.664061,5200 Loyola/Bridgewater,False
1703,24,10 Southpark Meadows SB,0,10,1,1,30.298607,-97.722783,4000 Red River/40th,False
1239,25,7 Airport/Highland NB,1,7,1,1,30.230144,-97.7382,2501 Parker/Braxton,False
3120,5,324 Highland EB,0,324,1,1,30.362571,-97.728237,2301 Ohlen/Bowling Green,False
1704,25,10 Southpark Meadows SB,0,10,1,1,30.29576,-97.723443,Red River/38th,False
1094,10,5 Northcross WB,1,5,1,1,30.277864,-97.694461,3522 12th/E M Franklin,False
1240,26,7 Airport/Highland NB,1,7,1,1,30.232116,-97.736934,2301 Parker/Oltorf,False
916,21,7 William Cannon SB,0,7,1,1,30.277723,-97.736643,Medical School SB (San Jacinto/17th),False
5847,10,337 Mopac WB,0,337,1,1,30.310494,-97.667452,3500 Loyola/Manor,False
