amenity,amenity_category,name,geometry,icon,color
restaurant,Food Services,Super Burrito,POINT (-97.75270603052614 30.269497787495215),cutlery,green
restaurant,Food Services,The Garden,POINT (-97.785977 30.2407),cutlery,green
marketplace,Commercial,Sustainable Food Center Farmers' Market,POINT (-97.7471061 30.2672548),shopping-cart,green
bar,Food Services,Kung Fu Saloon,POINT (-97.7503681 30.2703425),beer,green
restaurant,Food Services,Discada,POINT (-97.7245889 30.2687467),cutlery,green
cafe,Food Services,Barrett's Coffee,POINT (-97.717491 30.338992),coffee,green
place_of_worship,Community Services,Metropolitan Community Church of Austin,POINT (-97.7977573 30.176552),institution,orange
restaurant,Food Services,Julio's Cafe,POINT (-97.7264373 30.3045094),cutlery,green
social_centre,Community Services,M. W. St. Joseph Grand Lodge of Texas,POINT (-97.72981056921361 30.26917439904546),institution,orange
bar,Food Services,Rio Rita,POINT (-97.7200663 30.2749573),beer,green
events_venue,Recreation,The Riley Building,POINT (-97.74581665361431 30.266539639594036),institution,orange
bar,Food Services,Corner Bar,POINT (-97.76688085308999 30.249441633093042),beer,green
restaurant,Food Services,Kerbey Lane Cafe,POINT (-97.74152178504792 30.291207968232804),cutlery,green
restaurant,Food Services,Pizzeria Sportiva,POINT (-97.7642917 30.2525199),cutlery,green
restaurant,Food Services,It's Italian Cucina,POINT (-97.7642578 30.2525756),cutlery,green
restaurant,Food Services,Corazon,POINT (-97.7563315 30.2708184),cutlery,green
restaurant,Food Services,Bob's Steak & Chop House,POINT (-97.74592116386167 30.26609214593997),cutlery,green
restaurant,Food Services,DeSano Pizzeria Napoletana,POINT (-97.74585850788301 30.266252420768172),cutlery,green
restaurant,Food Services,Luminaire,POINT (-97.7419028 30.2697418),cutlery,green
restaurant,Food Services,P. Thai's Khao Man Gai & Noodles,POINT (-97.7153228762594 30.308743811792596),cutlery,green
cafe,Food Services,Bennu Coffee Shop,POINT (-97.7462026 30.2561056),coffee,green
restaurant,Food Services,Happy Chicks,POINT (-97.73868938548206 30.33998357351602),cutlery,green
cafe,Food Services,Buzz Mill,POINT (-97.72948360174706 30.264838387178358),coffee,green
restaurant,Food Services,Franklin Barbecue,POINT (-97.7312718004436 30.270167320150023),cutlery,green
restaurant,Food Services,Taqueria Chapala,POINT (-97.85534627548573 30.235839255588512),cutlery,green
bar,Food Services,Pop,POINT (-97.74925728446595 30.270170844569904),beer,green
restaurant,Food Services,East Side Pies,POINT (-97.72408225759439 30.26878570508516),cutlery,green
bar,Food Services,Weather Up,POINT (-97.72497922031324 30.25743142539325),beer,green
place_of_worship,Community Services,Rosewood Avenue Baptist Church,POINT (-97.71926703873315 30.269953545610804),institution,orange
restaurant,Food Services,Via 313 Pizza,POINT (-97.7414335 30.2978688),cutlery,green
restaurant,Food Services,Gusto Italian Kitchen,POINT (-97.7399664 30.3183417),cutlery,green
restaurant,Food Services,Galloway's Sandwich Shop,POINT (-97.7193957 30.2739607),cutlery,green
restaurant,Food Services,Brunch Bird,POINT (-97.729491 30.2647921),cutlery,green
restaurant,Food Services,Jason's Deli,POINT (-97.7213595 30.3010767),cutlery,green
restaurant,Food Services,Roppolo's Pizzeria,POINT (-97.74154547657803 30.29099378131606),cutlery,green
restaurant,Food Services,Fabrik Austin,POINT (-97.7229995 30.27929),cutlery,green
bar,Food Services,Play on West 6th,POINT (-97.74916866452024 30.270144592972038),beer,green
bar,Food Services,Las Bis,POINT (-97.741756 30.2697049),beer,green
bar,Food Services,Rain on 4th,POINT (-97.74565862716786 30.26653799566393),beer,green
bar,Food Services,Cactus Cafe,POINT (-97.7413275 30.2861309),beer,green
bar,Food Services,J Blacks,POINT (-97.7502191 30.2703034),beer,green
pub,Food Services,Draught House Pub & Brewery,POINT (-97.7428611 30.3110713),beer,green
