route_stop_id,route_id,direction_id,stop_sequence,trip_headsign,stop_id
1,20,1,1,20 ABIA Airport SB,1619
2,20,1,2,20 ABIA Airport SB,1621
3,20,1,3,20 ABIA Airport SB,1622
4,20,1,4,20 ABIA Airport SB,1625
5,20,1,5,20 ABIA Airport SB,1626
6,20,1,6,20 ABIA Airport SB,1627
7,20,1,7,20 ABIA Airport SB,1629
8,20,1,8,20 ABIA Airport SB,1631
9,20,1,9,20 ABIA Airport SB,6084
10,20,1,10,20 ABIA Airport SB,1633
11,20,1,11,20 ABIA Airport SB,1634
12,20,1,12,20 ABIA Airport SB,1635
13,20,1,13,20 ABIA Airport SB,1636
14,20,1,14,20 ABIA Airport SB,4193
15,20,1,16,20 ABIA Airport SB,1639
16,20,1,17,20 ABIA Airport SB,1640
17,20,1,18,20 ABIA Airport SB,1642
18,20,1,19,20 ABIA Airport SB,1644
19,20,1,20,20 ABIA Airport SB,2077
20,20,1,21,20 ABIA Airport SB,6498
21,20,1,22,20 ABIA Airport SB,2079
22,20,1,24,20 ABIA Airport SB,497
23,20,1,25,20 ABIA Airport SB,498
24,10,0,1,10 Southpark Meadows SB,6419
25,20,1,27,20 ABIA Airport SB,2738
26,10,0,2,10 Southpark Meadows SB,5446
27,10,0,3,10 Southpark Meadows SB,4720
28,10,0,4,10 Southpark Meadows SB,2455
29,7,0,1,7 William Cannon SB,5604
30,7,0,2,7 William Cannon SB,2877
31,10,0,5,10 Southpark Meadows SB,2456
32,7,1,2,7 Airport/Highland NB,5758
33,7,0,3,7 William Cannon SB,5510
34,10,0,6,10 Southpark Meadows SB,2457
35,20,1,31,20 ABIA Airport SB,3846
36,7,0,4,7 William Cannon SB,5603
37,10,0,7,10 Southpark Meadows SB,6346
38,7,0,5,7 William Cannon SB,6526
39,7,0,6,7 William Cannon SB,5625
40,10,0,8,10 Southpark Meadows SB,1313
41,10,0,9,10 Southpark Meadows SB,4748
42,7,0,7,7 William Cannon SB,1164
43,10,0,10,10 Southpark Meadows SB,5186
44,10,0,11,10 Southpark Meadows SB,1316
45,7,0,8,7 William Cannon SB,6248
46,20,1,40,20 ABIA Airport SB,1003
47,10,0,12,10 Southpark Meadows SB,1318
48,7,0,9,7 William Cannon SB,1168
49,10,0,13,10 Southpark Meadows SB,1319
50,10,0,14,10 Southpark Meadows SB,6295
51,7,0,10,7 William Cannon SB,1169
52,7,1,11,7 Airport/Highland NB,6309
53,7,1,12,7 Airport/Highland NB,6313
54,10,0,15,10 Southpark Meadows SB,6335
55,7,0,11,7 William Cannon SB,4150
56,20,1,46,20 ABIA Airport SB,6368
57,337,0,1,337 Mopac WB,6183
58,5,1,1,5 Northcross WB,5007
59,7,1,13,7 Airport/Highland NB,1228
60,10,0,16,10 Southpark Meadows SB,5794
61,7,0,12,7 William Cannon SB,1171
62,5,1,2,5 Northcross WB,6385
63,337,0,2,337 Mopac WB,5981
64,7,1,14,7 Airport/Highland NB,1229
65,7,0,13,7 William Cannon SB,1172
66,10,0,17,10 Southpark Meadows SB,5483
67,5,1,3,5 Northcross WB,5912
