stop_name,stop_lat,stop_lon,wheelchair_accessible,bikes_allowed,is_express,stop_id
7000 Manor/Susquehanna,30.313865,-97.664697,1,1,False,1619
6650 Manor/Loyola,30.310003,-97.667482,1,1,False,1621
University Hills SB (Manor/Northeast),30.3085,-97.671213,1,1,False,1622
6102 Manor/Wheless,30.307941,-97.678194,1,1,False,1625
5900 Manor/Sweeney,30.30659,-97.680101,1,1,False,1626
Manor at Rogge SB (Manor/Rogge),30.304383,-97.681613,1,1,False,1627
Manor/Wellington,30.30115,-97.685058,1,1,False,1629
51st/Manor SB (Manor/51st),30.298358,-97.687017,1,1,False,1631
4800 Manor/Creekwood,30.295369,-97.689006,1,1,False,6084
4500 Manor/Lovell,30.29216,-97.689382,1,1,False,1633
3722 Manor/Tilley,30.290265,-97.695112,1,1,False,1634
3600 Manor/Pershing,30.28934,-97.698275,1,1,False,1635
Manor/Anchor,30.287728,-97.701113,1,1,False,1636
Manor/Tillery,30.286885,-97.703204,1,1,False,4193
Alexander SB (Manor/Alexander),30.285663,-97.710921,1,1,False,1639
Manor/Walnut,30.285124,-97.714409,1,1,False,1640
Cherrywood SB (Manor/Cherrywood),30.284554,-97.717984,1,1,False,1642
Dean Keeton/Dancy NE Corner,30.284787,-97.721969,1,1,False,1644
920 Dean Keeton/Red River,30.287579,-97.727345,1,1,False,2077
East Dean Keeton SB (Dean Keeton/Medical Arts),30.288847,-97.729473,1,1,False,6498
Dean Keeton/Speedway NE Corner,30.289536,-97.737134,1,1,False,2079
UT West Mall Station (SB),30.286231,-97.741771,1,1,False,497
Guadalupe/W. 21st Street,30.283384,-97.742081,1,1,False,498
Norwood Transit Center - A,30.340202,-97.691345,1,1,False,6419
Capitol Station (SB),30.275022,-97.744169,1,1,False,2738
1113 Rutherford/Furness,30.340454,-97.690058,1,1,False,5446
8100 Cameron Road,30.33771,-97.68437,1,1,False,4720
8004 Cameron/Rutherford,30.33555,-97.68456,1,1,False,2455
Crestview Station Bus Stop,30.338721,-97.719548,1,1,False,5604
6904 Airport/Lamar,30.336206,-97.718248,1,1,False,2877
7606 Cameron/Anderson,30.33123,-97.68753,1,1,False,2456
1901 William Cannon/Bluff Springs,30.188349,-97.765515,1,1,False,5758
Airport/Guadalupe,30.333535,-97.716863,1,1,False,5510
7400 Cameron/McKie,30.32921,-97.69045,1,1,False,2457
Riverside/Congress FS,30.256196,-97.746021,1,1,False,3846
6402 Airport Blvd (Highland Mall),30.328339,-97.716081,1,1,False,5603
1423 St Johns/Cameron,30.325707,-97.691802,1,1,False,6346
Airport at Clayton SB,30.323416,-97.71554,1,1,False,6526
5789 Airport/Koenig,30.321647,-97.71395,1,1,False,5625
Berkman/US 290 NW Corner,30.3223,-97.68924,1,1,False,1313
Berkman/US 290 SW Corner,30.319884,-97.68919,1,1,False,4748
5600 Avenue F/56th,30.321167,-97.718996,1,1,False,1164
6500 Berkman/Wheless,30.318167,-97.690141,1,1,False,5186
6208 Berkman/Glen Valley,30.316451,-97.691223,1,1,False,1316
5302 Duval/53rd,30.316511,-97.718524,1,1,False,6248
2237 Riverside/Willow Creek,30.238275,-97.726015,1,1,False,1003
5810 Berkman/Sweetbriar,30.312311,-97.693666,1,1,False,1318
Duval/51st,30.314362,-97.719922,1,1,False,1168
Berkman/Cloverleaf,30.309342,-97.695539,1,1,False,1319
5305 Berkman/Broadmoor,30.306736,-97.697201,1,1,False,6295
Duval/48th,30.310968,-97.722129,1,1,False,1169
4509 Teri/Pleasant Valley,30.197276,-97.744457,1,1,False,6309
2303 Teri/Spruce,30.200146,-97.749038,1,1,False,6313
1716 Barbara Jordan/Berkman,30.302661,-97.700391,1,1,False,6335
4510 Duval/45th,30.307337,-97.724462,1,1,False,4150
5925 Riverside/Grove,30.226741,-97.70763,1,1,False,6368
Decker (Loyola/Decker),30.291672,-97.628589,1,1,False,6183
Tannehill/Webberville,30.283619,-97.671579,1,1,False,4606
2008 Teri/Pepper,30.202328,-97.752516,1,1,False,1228
4924 Mueller/Barbara Jordan,30.303915,-97.704151,1,1,False,5794
Duval/43rd,30.30438,-97.726357,1,1,False,1171
4338 Tannehill/Webberville,30.281843,-97.67245,1,1,False,6385
Loyola/Wentworth,30.292958,-97.631241,1,1,False,5981
4801 Freidrich/Teri,30.204466,-97.753036,1,1,False,1229
4002 Duval/41st,30.301674,-97.728038,1,1,False,1172
4826 Mueller/Philomena,30.301482,-97.70572,1,1,False,5483
4100 Tannehill/Samuel Huston,30.279199,-97.674156,1,1,False,5912
4601 Freidrich/City Yard,30.208174,-97.750684,1,1,False,1230
3508 Duval/38th,30.298182,-97.730215,1,1,False,4152
1714 Aldrich/Mueller,30.298134,-97.707679,1,1,False,5670
Duval/33rd,30.295649,-97.731832,1,1,False,1174
4300 Airport/Aldrich,30.29844,-97.709294,1,1,False,5918
4217 Freidrich/St Elmo,30.211339,-97.748689,1,1,False,1231
3200 Duval/32nd,30.294603,-97.732495,1,1,False,1175
Colony Park SB (Loyola/Colony Loop),30.297971,-97.64216,1,1,False,2282
Jackie Robinson/Delano,30.276588,-97.67835,1,1,False,1085
4335 Airport/Parkwood,30.30041,-97.71246,1,1,False,3271
4115 Freidrich/Woodward,30.213484,-97.746116,1,1,False,1232
6714 Loyola/Sandshof,30.299247,-97.645835,1,1,False,2288
2751 Foster/Rockwood,30.357549,-97.738037,1,1,False,6388
Loyola/Johnny Morris NE Corner,30.29995,-97.647303,1,1,False,4615
Duval/30th,30.291876,-97.734222,1,1,False,1176
1411 Fort Branch/Meander,30.278736,-97.680321,1,1,False,6369
San Jacinto/Dean Keeton NW Corner,30.289599,-97.734686,1,1,False,1177
Loyola/Johnny Morris NW Corner,30.30163,-97.650907,1,1,False,5558
1420 Webberville/Fort Branch,30.27989,-97.681063,1,1,False,1089
2000 Woodward/Ben White,30.217996,-97.743796,1,1,False,5663
2711 Anderson/Northcross,30.358707,-97.736521,1,1,False,5855
45th / Bennett,30.303935,-97.717598,1,1,False,3532
UT Stadium SB (San Jacinto/23rd),30.285506,-97.733782,1,1,False,1179
5900 Loyola/Crystalbrook,30.303281,-97.654591,1,1,False,2290
12TH/WEBBERVILLE,30.278254,-97.684918,1,1,False,1091
5600 Loyola/Millrace,30.303051,-97.657759,1,1,False,2291
3301 Parker/Timber Ridge,30.222918,-97.7421,1,1,False,4324
4400 Red River/44th,30.303378,-97.72062,1,1,False,1701
2098 SAN JACINTO/21ST,30.283014,-97.7341,1,1,False,1180
4600 12th/Springdale,30.278941,-97.686682,1,1,False,1092
3101 Parker/Wickshire,30.224517,-97.742158,1,1,False,1237
4202 Red River/Park,30.301618,-97.721598,1,1,False,6337
8003 Burnet/Ashdale,30.358604,-97.730093,1,1,False,5746
12th/Cometa,30.278639,-97.689538,1,1,False,1093
Burnet/Teakwood,30.360508,-97.729588,1,1,False,3063
2801 Parker/Royal Hill,30.227381,-97.740387,1,1,False,1238
5200 Loyola/Bridgewater,30.304837,-97.664061,1,1,False,2292
4000 Red River/40th,30.298607,-97.722783,1,1,False,1703
2501 Parker/Braxton,30.230144,-97.7382,1,1,False,1239
2301 Ohlen/Bowling Green,30.362571,-97.728237,1,1,False,3120
Red River/38th,30.29576,-97.723443,1,1,False,1704
3522 12th/E M Franklin,30.277864,-97.694461,1,1,False,1094
2301 Parker/Oltorf,30.232116,-97.736934,1,1,False,1240
Medical School SB (San Jacinto/17th),30.277723,-97.736643,1,1,False,916
3500 Loyola/Manor,30.310494,-97.667452,1,1,False,5847
3400 Red River/Harris,30.293324,-97.725492,1,1,False,5569
1821 Ohlen/Renton,30.360919,-97.723494,1,1,False,5662
3500 12th/Greenwood,30.277482,-97.696869,1,1,False,4670
ABIA Lower Level,30.202744,-97.665653,1,1,False,4326
Hogan/Community,30.236954,-97.702062,1,1,False,832
3300 Loyola/Kings Point,30.311577,-97.669075,1,1,False,2295
2201 Burton/Oltorf,30.231208,-97.73355,1,1,False,1359
6107 Hogan/Montopolis,30.235551,-97.699597,1,1,False,5736
San Jacinto/14th,30.275451,-97.737526,1,1,False,919
3100 Red River/32nd,30.290572,-97.727389,1,1,False,1706
3250 12th/Airport,30.276978,-97.700178,1,1,False,1096
Ohlen/Contour,30.36282,-97.71887,1,1,False,3123
2900 Loyola/Tulsa,30.314191,-97.673126,1,1,False,2296
911 Montopolis/Cirulo de Amistad,30.234794,-97.697069,1,1,False,3255
Burton/Valley Hill Cir.,30.234059,-97.731309,1,1,False,1243
1649 Ohlen/Research,30.36357,-97.71592,1,1,False,3125
703 Montopolis/Ponca,30.237459,-97.695289,1,1,False,5466
12th/Harvey,30.276346,-97.70424,1,1,False,1098
1801 Burton/Woodland,30.235764,-97.72851,1,1,False,1244
Montopolis/Monsanto,30.238996,-97.694369,1,1,False,3256
Montopolis/El Mirando,30.240245,-97.693567,1,1,False,4306
200 Turk/Cullen,30.163367,-97.791351,1,1,False,5263
2714 Foster/Northcross,30.357211,-97.737209,1,1,False,5856
Capitol/Waterloo SB (San Jacinto/11th),30.272244,-97.738709,1,1,False,6499
8919 Galewood/Payton Gin,30.36617,-97.715754,1,1,False,4733
2400 Loyola/Roanoke,30.318413,-97.678508,1,1,False,2298
2900 12th/Alexander,30.275723,-97.708093,1,1,False,1099
Burton/Riverside,30.239196,-97.727578,1,1,False,1361
9029 Galewood/Colony Creek,30.367505,-97.714901,1,1,False,4731
810 Dean Keeton/Hampton,30.289184,-97.730013,1,1,False,2757
6800 Northeast/Loyola,30.317815,-97.680764,1,1,False,2299
Riverside/Town Creek,30.24114,-97.727591,1,1,False,1032
1830 Colony Creek/Northgate,30.369704,-97.716323,1,1,False,4728
305 Slaughter/Alice Mae,30.167797,-97.79335,1,1,False,6479
12th/Cedar,30.274879,-97.713399,1,1,False,1101
6502 Northeast/North Hampton,30.315093,-97.681362,1,1,False,2300
Northgate/Rundberg,30.371518,-97.715819,1,1,False,3127
6400 North Hampton/Bristol,30.3138,-97.681756,1,1,False,4610
1770 Riverside/Shore District,30.243702,-97.729475,1,1,False,6443
324 Slaughter/Francia,30.169519,-97.795847,1,1,False,5968
104 8th/Congress,30.269914,-97.741869,1,1,False,5937
2204 12th/Chestnut,30.27439,-97.716486,1,1,False,1102
6200 North Hampton/Wheless,30.312469,-97.684539,1,1,False,5008
183/Patton (Esperanza Community),30.232832,-97.684391,1,1,False,6432
1914 12th/Chicon,30.273963,-97.719142,1,1,False,1103
Steck/Sandalwood,30.364974,-97.735546,1,1,False,1906
Masterson Station (SB),30.370933,-97.692733,1,1,True,5858
1600 Riverside/Summit,30.246505,-97.731969,1,1,False,1034
8905 S 1st/Slaughter,30.173403,-97.798751,1,1,False,4404
9512 Mountain Quail/Rutland,30.371315,-97.709301,1,1,False,6255
Steck/Daleview,30.365892,-97.737465,1,1,False,4649
1700 12th/Leona,30.273521,-97.72187,1,1,False,1105
2006 Gaston Place/Wellington,30.312629,-97.688711,1,1,False,2302
216 8th/Lavaca,30.270613,-97.744215,1,1,False,5938
8515 S 1st/Hyde Park,30.176671,-97.797694,1,1,False,3768
3400 Steck/Shoal Creek,30.366965,-97.739674,1,1,False,1907
Howard Station Bus Stop,30.439972,-97.70124,1,1,False,5607
ACC Riverside  @ Grove,30.23618,-97.703723,1,1,False,6439
1718 Briarcliff/Berkman,30.31399,-97.692156,1,1,False,5781
5107 Heflin/Webberville,30.28262,-97.676905,1,1,False,5642
1400 12th/Angelina,30.273059,-97.7249,1,1,False,1106
1000 East Riverside/Travis Heights,30.249906,-97.738594,1,1,False,1246
10014 Mountain Quail/Mearns Meadow,30.375848,-97.705196,1,1,False,6252
8313 S 1st/Great Britain,30.179635,-97.795803,1,1,False,3769
1500 Briarcliff/Belfast,30.315083,-97.694414,1,1,False,2305
8201 S 1st/Mairo,30.180906,-97.794841,1,1,False,2636
Oak Hill Plaza,30.234966,-97.87694,1,1,False,2597
1220 12th/San Bernard,30.272727,-97.726844,1,1,False,1107
Steck/Mopac,30.368976,-97.743943,1,1,False,1909
1225 Mearns Meadow/Parkfield,30.371708,-97.702935,1,1,False,6251
7901 S 1st/Dittmar,30.183697,-97.79269,1,1,False,3757
3301 Wells Branch/Howard,30.440104,-97.695268,1,1,False,5305
504 Riverside/Newning,30.253005,-97.742945,1,1,False,4024
Oak Springs/Springdale,30.273534,-97.691296,1,1,False,669
Domain Station,30.39985,-97.72045,1,1,True,5919
Ruiz Library,30.229539,-97.706558,1,1,False,1017
Guadalupe/4th,30.267331,-97.747037,1,1,False,2613
Steck/Summerside,30.37058,-97.7466,1,1,False,1910
3001 Wells Branch/Summit,30.44121,-97.692441,1,1,False,5278
New Airport/Employee,30.212636,-97.66384,1,1,False,5099
5508 Martin Luther King Jr/Hilldale,30.286729,-97.671079,1,1,False,5640
1106 Mearns Meadow/Quail,30.369808,-97.701042,1,1,False,6257
Cameron/Glencrest,30.319114,-97.69749,1,1,False,4592
7401 S 1st/Elderberry,30.187782,-97.790505,1,1,False,5735
Tech Ridge Bay H,30.418266,-97.668678,1,1,False,5273
150 Riverside/Congress,30.255868,-97.74546,1,1,False,1249
Southpark Meadows Station,30.162883,-97.790317,1,1,True,5873
Decker (Loyola/Decker),30.291672,-97.628589,1,1,True,6183
2801 Wells Branch/Double File,30.441506,-97.689979,1,1,False,4813
12th/IH-35,30.272088,-97.730842,1,1,False,1109
Grove at Riverside,30.226671,-97.708313,1,1,False,6524
1050 Springdale/Prock,30.270901,-97.692225,1,1,False,1338
3822 Steck/Greenslope,30.37292,-97.74917,1,1,False,1911
7301 S 1st/Meadow Lea,30.189842,-97.790405,1,1,False,2638
Fairfield Rapid  Station (SB),30.355296,-97.703128,1,1,True,467
603 Slaughter/1st,30.172829,-97.799722,1,1,False,6407
5304  MLK Jr/Oldfort Hill,30.286744,-97.674512,1,1,False,5641
1020 Mearns Meadow/Rutland,30.366754,-97.70087,1,1,False,6258
2301 Wells Branch/Merrilltown,30.438537,-97.685392,1,1,False,4815
6717 Cameron/Athletic,30.32283,-97.69413,1,1,False,2870
6964 Convict Hill/290,30.230056,-97.878875,1,1,False,6393
3924 Steck/Spicewood,30.373226,-97.752979,1,1,False,1912
1803 Montopolis/Kasper,30.226187,-97.70256,1,1,False,5748
Martin Luther King/Scottsdale,30.286309,-97.678798,1,1,False,4602
1018 Springdale/Goodwin,30.267579,-97.694349,1,1,False,1339
1766 71/Thornberry,30.219402,-97.670379,1,1,False,6241
Slaughter/Simonetti,30.174173,-97.804467,1,1,False,5416
2107 Wells Branch/Renaissance,30.436412,-97.683828,1,1,False,4817
5203 Eastside Bus Plaza Bay H,30.2517,-97.69763,1,1,False,6448
10051 Great Hills/Research (Target),30.393337,-97.743545,1,1,False,3837
Westgate Transit Center - F,30.231403,-97.790588,1,1,False,6379
Norwood Transit Center - F,30.340372,-97.691159,1,1,False,6424
831 Rundberg/Lamar (Near Side),30.3637,-97.69848,1,1,False,2583
Norwood Transit Center - C,30.340396,-97.691019,1,1,False,6421
Tech Ridge Bay F,30.418325,-97.66907,1,1,False,5302
8213 Panadero/Thaxton,30.157067,-97.743627,1,1,False,5702
Barbara Jordan SB (Berkman/Barbara Jordan),30.302693,-97.699868,1,1,False,5926
924 41st/IH 35,30.298908,-97.720539,1,1,False,3843
North Lamar Bay 2,30.350167,-97.712099,1,1,False,5226
North Lamar Bay 1,30.350016,-97.71196,1,1,False,5225
504 Campbell/5th,30.275026,-97.764825,1,1,False,6243
2535 Anderson/Northcross,30.357183,-97.733456,1,1,False,5854
Vertex (Slaughter/Vertex),30.150224,-97.753916,1,1,True,6504
Barbara Jordan SB (Berkman/Barbara Jordan),30.302693,-97.699868,1,1,True,5926
Vic Mathias/Auditorium Shores (NB),30.259459,-97.748994,1,1,False,2767
2410 Grove/Montopolis,30.220474,-97.707258,1,1,False,2229
7201 S 1st/Prince Valiant,30.191724,-97.790325,1,1,False,3770
Slaughter Station (NB),30.169961,-97.787073,1,1,True,6362
1206 Camino La Costa/Grand Canyon,30.32428,-97.69614,1,1,False,2459
Braker/Burnet Stadium Rapid NW Corner (SB),30.391483,-97.722548,1,1,True,4682
Rundberg/Lamar,30.362762,-97.696525,1,1,False,4539
Montopolis/Santos,30.22867,-97.700989,1,1,False,3253
Hancock Center,30.300218,-97.720574,1,1,False,5283
1000 Howard/Center Line,30.422654,-97.667176,1,1,False,5374
1135 Airport/Goodwin,30.26848,-97.69626,1,1,False,3261
8140 Mesa/Steck,30.37377,-97.756008,1,1,False,1913
27 Waller/Flores,30.253346,-97.735557,1,1,False,6404
Westgate Transit Center - A,30.230908,-97.790295,1,1,True,6373
4600 Martin Luther King/Springdale,30.285994,-97.682246,1,1,False,898
Research/Lamar,30.350323,-97.713047,1,1,False,5071
6907 S 1st/Thelma,30.194695,-97.78927,1,1,False,2639
Slaughter/United Kingdom,30.174099,-97.809607,1,1,False,2933
Rundberg/Slayton,30.361569,-97.694541,1,1,False,2585
1044 Camino La Costa/Calidad,30.32468,-97.699305,1,1,False,2460
Colony Park SB (Loyola/Colony Loop),30.297971,-97.64216,1,1,True,2282
1831 Wells Branch/Thermal,30.434587,-97.678139,1,1,False,5342
4121 Red River/Park,30.301232,-97.72155,1,1,False,6336
7944 Salt Springs/Roseborough,30.161236,-97.744138,1,1,False,5699
Vic Mathias/Auditorium Shores (SB),30.258767,-97.7487,1,1,False,2763
7720 Lamar/Stobaugh,30.346044,-97.713966,1,1,False,471
2800 Montopolis/Oltorf,30.216404,-97.709274,1,1,False,2230
Stonelake/Great Hills,30.394136,-97.73962,1,1,False,5019
45 Waller/Clermont,30.254853,-97.734855,1,1,False,2045
2007 Anderson/Burnet,30.354472,-97.727616,1,1,False,954
9306 Georgian/Rundberg,30.360445,-97.693759,1,1,False,4725
Norwood Park/Brettonwoods,30.338844,-97.694029,1,1,False,5193
Pack Saddle Pass/Ben White,30.231055,-97.792199,1,1,False,4231
2901 Montopolis/Oltorf,30.215288,-97.71025,1,1,False,5974
Salt Springs at Tara,30.163794,-97.742645,1,1,False,6521
6594 1st/William Cannon,30.197445,-97.7875,1,1,False,1540
1207 Montopolis/Larch,30.232656,-97.698459,1,1,False,3254
1779 Wells Branch/Wells Port,30.435736,-97.67502,1,1,False,5761
Simond SB (Berkman/Simond),30.296149,-97.700385,1,1,True,6293
4309 Red River/44th,30.303319,-97.720483,1,1,False,1787
59 Waller/Holly,30.25619,-97.73426,1,1,False,1959
1016 Camino La Costa/La Posada,30.327108,-97.702019,1,1,False,4712
Research/Jamestown,30.355308,-97.714862,1,1,False,3795
