route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,scheduled_trip_id,trip_short_name,wheelchair_accessible,bikes_allowed
1,1-169,2959611_0001,1 Tech Ridge Park & Ride NB,1,1001,1,2959611,Tech Ridge Park & Ride,1,1
1,1-169,2959606_0002,1 Tech Ridge Park & Ride NB,1,1003,1,2959606,Tech Ridge Park & Ride,1,1
1,1-169,2959607_0003,1 Tech Ridge Park & Ride NB,1,1005,1,2959607,Tech Ridge Park & Ride,1,1
1,1-169,2959639_0004,1 Tech Ridge Park & Ride NB,1,1007,1,2959639,Tech Ridge Park & Ride,1,1
1,1-169,2959605_0005,1 Tech Ridge Park & Ride NB,1,1008,1,2959605,Tech Ridge Park & Ride,1,1
1,1-169,2959638_0006,1 Tech Ridge Park & Ride NB,1,1002,1,2959638,Tech Ridge Park & Ride,1,1
1,1-169,2959604_0007,1 Tech Ridge Park & Ride NB,1,1004,1,2959604,Tech Ridge Park & Ride,1,1
1,1-169,2959637_0008,1 Tech Ridge Park & Ride NB,1,1006,1,2959637,Tech Ridge Park & Ride,1,1
1,1-169,2959603_0009,1 Tech Ridge Park & Ride NB,1,1001,1,2959603,Tech Ridge Park & Ride,1,1
1,1-169,2959602_0010,1 Tech Ridge Park & Ride NB,1,1009,1,2959602,Tech Ridge Park & Ride,1,1
1,1-169,2959618_0011,1 Tech Ridge Park & Ride NB,1,1003,1,2959618,Tech Ridge Park & Ride,1,1
1,1-169,2959619_0012,1 Tech Ridge Park & Ride NB,1,1005,1,2959619,Tech Ridge Park & Ride,1,1
1,1-169,2959620_0013,1 Tech Ridge Park & Ride NB,1,1007,1,2959620,Tech Ridge Park & Ride,1,1
1,1-169,2959621_0014,1 Tech Ridge Park & Ride NB,1,1008,1,2959621,Tech Ridge Park & Ride,1,1
1,1-169,2959622_0015,1 Tech Ridge Park & Ride NB,1,1002,1,2959622,Tech Ridge Park & Ride,1,1
1,1-169,2959623_0016,1 Tech Ridge Park & Ride NB,1,1004,1,2959623,Tech Ridge Park & Ride,1,1
1,1-169,2959624_0017,1 Tech Ridge Park & Ride NB,1,1090,1,2959624,Tech Ridge Park & Ride,1,1
1,1-169,2959625_0018,1 Tech Ridge Park & Ride NB,1,1006,1,2959625,Tech Ridge Park & Ride,1,1
1,1-169,2959626_0019,1 Tech Ridge Park & Ride NB,1,1001,1,2959626,Tech Ridge Park & Ride,1,1
1,1-169,2959627_0020,1 Tech Ridge Park & Ride NB,1,1009,1,2959627,Tech Ridge Park & Ride,1,1
1,1-169,2959628_0021,1 Tech Ridge Park & Ride NB,1,1003,1,2959628,Tech Ridge Park & Ride,1,1
1,1-169,2959629_0022,1 Tech Ridge Park & Ride NB,1,1005,1,2959629,Tech Ridge Park & Ride,1,1
1,1-169,2959630_0023,1 Tech Ridge Park & Ride NB,1,1007,1,2959630,Tech Ridge Park & Ride,1,1
1,1-169,2959631_0024,1 Tech Ridge Park & Ride NB,1,1008,1,2959631,Tech Ridge Park & Ride,1,1
1,1-169,2959632_0025,1 Tech Ridge Park & Ride NB,1,1004,1,2959632,Tech Ridge Park & Ride,1,1
1,1-169,2959633_0026,1 Tech Ridge Park & Ride NB,1,1090,1,2959633,Tech Ridge Park & Ride,1,1
1,1-169,2959634_0027,1 Tech Ridge Park & Ride NB,1,1006,1,2959634,Tech Ridge Park & Ride,1,1
1,1-169,2959635_0028,1 Tech Ridge Park & Ride NB,1,1001,1,2959635,Tech Ridge Park & Ride,1,1
1,1-169,2959636_0029,1 Tech Ridge Park & Ride NB,1,1009,1,2959636,Tech Ridge Park & Ride,1,1
1,1-169,2959617_0030,1 Tech Ridge Park & Ride NB,1,1003,1,2959617,Tech Ridge Park & Ride,1,1
1,1-169,2959616_0031,1 Tech Ridge Park & Ride NB,1,1005,1,2959616,Tech Ridge Park & Ride,1,1
1,1-169,2959615_0032,1 Tech Ridge Park & Ride NB,1,1004,1,2959615,Tech Ridge Park & Ride,1,1
1,1-169,2959614_0033,1 Tech Ridge Park & Ride NB,1,1090,1,2959614,Tech Ridge Park & Ride,1,1
1,1-169,2959613_0034,1 Tech Ridge Park & Ride NB,1,1006,1,2959613,Tech Ridge Park & Ride,1,1
1,1-169,2959612_0035,1 Tech Ridge Park & Ride NB,1,1001,1,2959612,Tech Ridge Park & Ride,1,1
1,1-169,2959610_0036,1 Tech Ridge Park & Ride NB,1,1009,1,2959610,Tech Ridge Park & Ride,1,1
1,1-169,2959609_0037,1 Tech Ridge Park & Ride NB,1,1003,1,2959609,Tech Ridge Park & Ride,1,1
1,1-169,2959608_0038,1 Tech Ridge Park & Ride NB,1,1005,1,2959608,Tech Ridge Park & Ride,1,1
1,2-169,2959611_0039,1 Tech Ridge Park & Ride NB,1,1001,2,2959611,Tech Ridge Park & Ride,1,1
1,2-169,2959606_0040,1 Tech Ridge Park & Ride NB,1,1003,2,2959606,Tech Ridge Park & Ride,1,1
1,2-169,2959607_0041,1 Tech Ridge Park & Ride NB,1,1005,2,2959607,Tech Ridge Park & Ride,1,1
1,2-169,2959639_0042,1 Tech Ridge Park & Ride NB,1,1007,2,2959639,Tech Ridge Park & Ride,1,1
1,2-169,2959605_0043,1 Tech Ridge Park & Ride NB,1,1008,2,2959605,Tech Ridge Park & Ride,1,1
1,2-169,2959638_0044,1 Tech Ridge Park & Ride NB,1,1002,2,2959638,Tech Ridge Park & Ride,1,1
1,2-169,2959604_0045,1 Tech Ridge Park & Ride NB,1,1004,2,2959604,Tech Ridge Park & Ride,1,1
1,2-169,2959637_0046,1 Tech Ridge Park & Ride NB,1,1006,2,2959637,Tech Ridge Park & Ride,1,1
1,2-169,2959603_0047,1 Tech Ridge Park & Ride NB,1,1001,2,2959603,Tech Ridge Park & Ride,1,1
1,2-169,2959602_0048,1 Tech Ridge Park & Ride NB,1,1009,2,2959602,Tech Ridge Park & Ride,1,1
1,2-169,2959618_0049,1 Tech Ridge Park & Ride NB,1,1003,2,2959618,Tech Ridge Park & Ride,1,1
1,2-169,2959619_0050,1 Tech Ridge Park & Ride NB,1,1005,2,2959619,Tech Ridge Park & Ride,1,1
1,2-169,2959620_0051,1 Tech Ridge Park & Ride NB,1,1007,2,2959620,Tech Ridge Park & Ride,1,1
1,2-169,2959621_0052,1 Tech Ridge Park & Ride NB,1,1008,2,2959621,Tech Ridge Park & Ride,1,1
1,2-169,2959622_0053,1 Tech Ridge Park & Ride NB,1,1002,2,2959622,Tech Ridge Park & Ride,1,1
1,2-169,2959623_0054,1 Tech Ridge Park & Ride NB,1,1004,2,2959623,Tech Ridge Park & Ride,1,1
1,2-169,2959624_0055,1 Tech Ridge Park & Ride NB,1,1090,2,2959624,Tech Ridge Park & Ride,1,1
1,2-169,2959625_0056,1 Tech Ridge Park & Ride NB,1,1006,2,2959625,Tech Ridge Park & Ride,1,1
1,2-169,2959626_0057,1 Tech Ridge Park & Ride NB,1,1001,2,2959626,Tech Ridge Park & Ride,1,1
1,2-169,2959627_0058,1 Tech Ridge Park & Ride NB,1,1009,2,2959627,Tech Ridge Park & Ride,1,1
1,2-169,2959628_0059,1 Tech Ridge Park & Ride NB,1,1003,2,2959628,Tech Ridge Park & Ride,1,1
1,2-169,2959629_0060,1 Tech Ridge Park & Ride NB,1,1005,2,2959629,Tech Ridge Park & Ride,1,1
1,2-169,2959630_0061,1 Tech Ridge Park & Ride NB,1,1007,2,2959630,Tech Ridge Park & Ride,1,1
1,2-169,2959631_0062,1 Tech Ridge Park & Ride NB,1,1008,2,2959631,Tech Ridge Park & Ride,1,1
1,2-169,2959632_0063,1 Tech Ridge Park & Ride NB,1,1004,2,2959632,Tech Ridge Park & Ride,1,1
1,2-169,2959633_0064,1 Tech Ridge Park & Ride NB,1,1090,2,2959633,Tech Ridge Park & Ride,1,1
1,2-169,2959634_0065,1 Tech Ridge Park & Ride NB,1,1006,2,2959634,Tech Ridge Park & Ride,1,1
1,2-169,2959635_0066,1 Tech Ridge Park & Ride NB,1,1001,2,2959635,Tech Ridge Park & Ride,1,1
1,2-169,2959636_0067,1 Tech Ridge Park & Ride NB,1,1009,2,2959636,Tech Ridge Park & Ride,1,1
1,2-169,2959617_0068,1 Tech Ridge Park & Ride NB,1,1003,2,2959617,Tech Ridge Park & Ride,1,1
1,2-169,2959616_0069,1 Tech Ridge Park & Ride NB,1,1005,2,2959616,Tech Ridge Park & Ride,1,1
1,2-169,2959615_0070,1 Tech Ridge Park & Ride NB,1,1004,2,2959615,Tech Ridge Park & Ride,1,1
1,2-169,2959614_0071,1 Tech Ridge Park & Ride NB,1,1090,2,2959614,Tech Ridge Park & Ride,1,1
1,2-169,2959613_0072,1 Tech Ridge Park & Ride NB,1,1006,2,2959613,Tech Ridge Park & Ride,1,1
1,2-169,2959612_0073,1 Tech Ridge Park & Ride NB,1,1001,2,2959612,Tech Ridge Park & Ride,1,1
1,2-169,2959610_0074,1 Tech Ridge Park & Ride NB,1,1009,2,2959610,Tech Ridge Park & Ride,1,1
1,2-169,2959609_0075,1 Tech Ridge Park & Ride NB,1,1003,2,2959609,Tech Ridge Park & Ride,1,1
