page,name,categories,address,matched_address,latitude,longitude
2,Pei Wei,"Restaurants, Asian Restaurants, Chinese Restaurants","1000 E 41st St, Austin, TX 78751","1000 E 41ST ST, AUSTIN, TX, 78751",30.298710536593,-97.720197949461
2,The Captain's Seafood & Oyster Bar,"Restaurants, Seafood Restaurants, American Restaurants","5700 N Interstate 35, Austin, TX 78751",,,
2,Julio's Restaurant,"Restaurants, Mexican Restaurants, American Restaurants","4230 Duval St, Austin, TX 78751","4230 DUVAL ST, AUSTIN, TX, 78751",30.304160528115,-97.726501339235
2,El Faro Taco,"Restaurants, Mexican Restaurants, Buffet Restaurants","1779 Wells Branch Pkwy, Austin, TX 78728",,,
2,Mimi's Cafe,"Restaurants, American Restaurants, Breakfast, Brunch & Lunch Restaurants","12613 Galleria Cir, Austin, TX 78738","12613 GALLERIA CIR, AUSTIN, TX, 78738",30.306791676578,-97.937682453327
2,Los Pinos Mexican Restaurant,"Restaurants, Mexican Restaurants, Take Out Restaurants","11715 Fm 2244 Rd, Austin, TX 78738",,,
2,Dr Wok,"Restaurants, Chinese Restaurants, Take Out Restaurants","13201 Pond Springs Rd Ste 103, Austin, TX 78729","13201 POND SPRINGS RD, AUSTIN, TX, 78729",30.444978538457,-97.777894104141
2,Roaring Fork Stonelake,"Restaurants, American Restaurants, Family Style Restaurants","10850 Stonelake Blvd, Austin, TX 78759","10850 STONELAKE BLVD, AUSTIN, TX, 78759",30.40008604809,-97.735861630014
2,Niki's Pizza,"Restaurants, Pizza, Italian Restaurants","1100 Center Ridge Dr Ste 320, Austin, TX 78753","1100 CENTER RIDGE DR, AUSTIN, TX, 78753",30.416825968424,-97.669212112437
2,Restaurant,"Restaurants, Family Style Restaurants, Italian Restaurants","85 Rainey St, Austin, TX 78701","85 RAINEY ST, AUSTIN, TX, 78701",30.259731669478,-97.738360024825
2,Sushi Sake Japanese Cuisine,"Restaurants, Sushi Bars, Japanese Restaurants","9503 Research Blvd Ste 500, Austin, TX 78759","9503 RESEARCH BLVD, AUSTIN, TX, 78759",30.386486222049,-97.74256076389
2,French Quarter Grille,"Restaurants, Seafood Restaurants, French Restaurants","13000 N Interstate 35, Austin, TX 78753",,,
2,Enchiladas Y Mas,"Restaurants, Mexican Restaurants, American Restaurants","1911 W Anderson Ln, Austin, TX 78757","1911 W ANDERSON LN, AUSTIN, TX, 78757",30.353852756177,-97.726188016192
2,24 Diner,"Restaurants, American Restaurants, Coffee Shops","600 N Lamar Blvd, Austin, TX 78703","600 N LAMAR BLVD, AUSTIN, TX, 78703",30.271614976785,-97.75399983192
2,Freda's Seafood Grille,"Restaurants, Seafood Restaurants, American Restaurants","10903 Pecan Park Blvd, Austin, TX 78750","10903 PECAN PARK BLVD, AUSTIN, TX, 78750",30.464773069726,-97.803523418903
2,Hoffbrau Steak,"Restaurants, Steak Houses, American Restaurants","613 W 6th St, Austin, TX 78701","613 W 6TH ST, AUSTIN, TX, 78701",30.269629619627,-97.748628274054
2,Nan King Restaurant,"Restaurants, American Restaurants, Bars","13450 N Highway 183, Austin, TX 78750",,,
2,The Steeping Room,"Restaurants, American Restaurants","11410 Century Oaks Ter, Austin, TX 78758","11410 CENTURY OAKS TER, AUSTIN, TX, 78758",30.400721238789,-97.72669608029
2,Hoboken Pie,"Restaurants, Pizza, Italian Restaurants","718 Red River St, Austin, TX 78701","718 RED RIVER ST, AUSTIN, TX, 78701",30.267621478967,-97.736806190208
2,Boulevard Bar & Grill,"Restaurants, American Restaurants, Bars","3616 Far West Blvd Ste 116, Austin, TX 78731","3616 FAR WEST BLVD, AUSTIN, TX, 78731",30.354604052551,-97.755318981513
2,North by Northwest Restaurant & Brewery,"Restaurants, American Restaurants, Bars","10010 N Capital Of Texas Hwy, Austin, TX 78759","10010 N CAPITAL OF TEXAS HWY, AUSTIN, TX, 78759",30.390802418826,-97.739066924429
2,Mangieri's,"Restaurants, Pizza, Italian Restaurants","2133 Lohmans Crossing Rd, Austin, TX 78734","2133 LOHMANS CROSSING RD, AUSTIN, TX, 78734",30.342231184584,-97.970909383271
2,Baby Acapulco Restaurant.,"Restaurants, American Restaurants, Bars","9505 Stonelake Blvd, Austin, TX 78759","9505 STONELAKE BLVD, AUSTIN, TX, 78759",30.385711592625,-97.739284762574
2,Hula Hut,"Restaurants, Mexican Restaurants, Bars","3825 Lake Austin Blvd, Austin, TX 78703","3825 LAKE AUSTIN BLVD, AUSTIN, TX, 78703",30.294951556441,-97.783807045237
2,China Cafe,"Restaurants, Chinese Restaurants, American Restaurants","3901 Spicewood Springs Rd, Austin, TX 78759","3901 SPICEWOOD SPRINGS RD, AUSTIN, TX, 78759",30.36606186002,-97.751762385929
2,Fujian Grand China Buffet,"Restaurants, Chinese Restaurants, Buffet Restaurants","8709 N Interstate 35, Austin, TX 78753",,,
2,The Frisco Shop,"Restaurants, American Restaurants, Hamburgers & Hot Dogs","6801 Burnet Rd, Austin, TX 78757","6801 BURNET RD, AUSTIN, TX, 78757",30.343800494152,-97.738283599198
2,Estancia Brazilian Steakhouse,"Restaurants, Brazilian Restaurants, Steak Houses","10000 Research Blvd, Austin, TX 78759","10000 RESEARCH BLVD SVC RD, AUSTIN, TX, 78759",30.392489005684,-97.746945608231
2,Wholly Cow Burgers,"Restaurants, Hamburgers & Hot Dogs, American Restaurants","3010 S Lamar Blvd, Austin, TX 78704","3010 S LAMAR BLVD, AUSTIN, TX, 78704",30.243031344423,-97.783294857387
2,Mikado Ryotei,"Restaurants, Take Out Restaurants, Bar & Grills","9033 Research Blvd, Austin, TX 78758","9033 RESEARCH SVC RD, AUSTIN, TX, 78758",30.373302860421,-97.725709223835
